"","Cercocebus_atys","Lophocebus_albigena","Mandrillus_sphinx","Papio_cynocephalus","Papio_anubis","Erythrocebus_patas","Chlorocebus_djamdjamensis","Cercopithecus_mitis","Cercopithecus_nictitans","Cercopithecus_cephus","Cercopithecus_ascanius","Allochrocebus_lhoesti","Cercopithecus_mona","Cercopithecus_pogonias","Procolobus_badius","Procolobus_verus","Colobus_satanas","Colobus_guereza","Colobus_polykomos","Gorilla_gorilla","Gorilla_beringei","Pan_troglodytes","Heliosciurus_rufobrachium","Cephalophus_dorsalis","Cephalophus_silvicultor","Cephalophus_callipygus","Loxodonta_africana"
"Cercocebus_atys",0,6.95051515851878e-310,2.08515454710857e-309,2.78020661835921e-309,2.78020667210995e-309,4.17031031274087e-309,4.17031036649162e-309,4.17031042542359e-309,4.17031037167202e-309,5.56041274406892e-309,5.56041329024588e-309,4.86536188212005e-309,3.47527946144816e-309,4.17030975711922e-309,4.86535909411286e-309,4.8653611114932e-309,4.86536171171071e-309,4.86536247158653e-309,5.56041332409182e-309,4.86538246809122e-309,4.86537988127002e-309,4.86535864265694e-309,4.86536116528332e-309,6.2554651121294e-309,6.25546505837672e-309,6.25546439525386e-309,5.56041066378013e-309
"Lophocebus_albigena",6.95051515851878e-310,0,1.39010303125924e-309,2.08515510250988e-309,2.08515515626063e-309,3.47525879689154e-309,3.47525885064229e-309,3.47525890957426e-309,3.47525885582269e-309,4.86536122821959e-309,4.86536177439656e-309,4.17031036627072e-309,2.78022794559883e-309,3.47525824126989e-309,4.17030757826353e-309,4.17030959564388e-309,4.17031019586138e-309,4.1703109557372e-309,4.86536180824249e-309,4.1703309522419e-309,4.17032836542069e-309,4.17030712680761e-309,4.17030964943399e-309,5.56041359628008e-309,5.56041354252739e-309,5.56041287940453e-309,4.86535914793081e-309
"Mandrillus_sphinx",2.08515454710857e-309,1.39010303125924e-309,0,2.08515510250861e-309,2.08515515625935e-309,3.47525879689027e-309,3.47525885064102e-309,3.47525890957299e-309,3.47525885582141e-309,4.86536122821832e-309,4.86536177439528e-309,4.17031036626945e-309,2.78022794559755e-309,3.47525824126862e-309,4.17030757826225e-309,4.1703095956426e-309,4.17031019586011e-309,4.17031095573593e-309,4.86536180824122e-309,4.17033095224062e-309,4.17032836541942e-309,4.17030712680633e-309,4.17030964943271e-309,5.5604135962788e-309,5.56041354252612e-309,5.56041287940325e-309,4.86535914792953e-309
"Papio_cynocephalus",2.78020661835921e-309,2.08515510250988e-309,2.08515510250861e-309,0,1.39010297750722e-309,4.17030954189352e-309,4.17030959564426e-309,4.17030965457623e-309,4.17030960082466e-309,5.56041197322156e-309,5.56041251939853e-309,4.86536111127269e-309,3.4752786906008e-309,4.17030898627187e-309,4.8653583232655e-309,4.86536034064585e-309,4.86536094086336e-309,4.86536170073917e-309,5.56041255324447e-309,4.86538169724387e-309,4.86537911042267e-309,4.86535787180958e-309,4.86536039443596e-309,6.25546434128205e-309,6.25546428752937e-309,6.2554636244065e-309,5.56040989293278e-309
"Papio_anubis",2.78020667210995e-309,2.08515515626063e-309,2.08515515625935e-309,1.39010297750722e-309,0,4.17030959564426e-309,4.17030964939501e-309,4.17030970832698e-309,4.1703096545754e-309,5.56041202697231e-309,5.56041257314927e-309,4.86536116502344e-309,3.47527874435155e-309,4.17030904002261e-309,4.86535837701625e-309,4.86536039439659e-309,4.8653609946141e-309,4.86536175448992e-309,5.56041260699521e-309,4.86538175099461e-309,4.86537916417341e-309,4.86535792556032e-309,4.86536044818671e-309,6.25546439503279e-309,6.25546434128011e-309,6.25546367815725e-309,5.56040994668352e-309
"Erythrocebus_patas",4.17031031274087e-309,3.47525879689154e-309,3.47525879689027e-309,4.17030954189352e-309,4.17030959564426e-309,0,1.39010297750667e-309,2.78020596019457e-309,2.78020590644299e-309,4.1703082788399e-309,4.17030882501686e-309,3.47525741689103e-309,2.08517632246652e-309,2.78020661813759e-309,4.8653589863892e-309,4.86536100376954e-309,4.86536160398705e-309,4.86536236386287e-309,5.56041321636816e-309,4.86538236036756e-309,4.86537977354636e-309,4.86535853493327e-309,4.86536105755966e-309,6.25546500440574e-309,6.25546495065306e-309,6.2554642875302e-309,5.56041055605647e-309
"Chlorocebus_djamdjamensis",4.17031036649162e-309,3.47525885064229e-309,3.47525885064102e-309,4.17030959564426e-309,4.17030964939501e-309,1.39010297750667e-309,0,2.78020601394531e-309,2.78020596019374e-309,4.17030833259065e-309,4.17030887876761e-309,3.47525747064177e-309,2.08517637621727e-309,2.78020667188834e-309,4.86535904013994e-309,4.86536105752029e-309,4.8653616577378e-309,4.86536241761361e-309,5.5604132701189e-309,4.86538241411831e-309,4.86537982729711e-309,4.86535858868402e-309,4.8653611113104e-309,6.25546505815649e-309,6.25546500440381e-309,6.25546434128094e-309,5.56041060980722e-309
"Cercopithecus_mitis",4.17031042542359e-309,3.47525890957426e-309,3.47525890957299e-309,4.17030965457623e-309,4.17030970832698e-309,2.78020596019457e-309,2.78020601394531e-309,0,1.39010297750639e-309,2.78020536026465e-309,2.78020590644161e-309,2.08515449831578e-309,2.08517643514924e-309,2.78020673082031e-309,4.86535909907191e-309,4.86536111645226e-309,4.86536171666977e-309,4.86536247654559e-309,5.56041332905088e-309,4.86538247305028e-309,4.86537988622908e-309,4.86535864761599e-309,4.86536117024237e-309,6.25546511708846e-309,6.25546506333578e-309,6.25546440021291e-309,5.56041066873919e-309
"Cercopithecus_nictitans",4.17031037167202e-309,3.47525885582269e-309,3.47525885582141e-309,4.17030960082466e-309,4.1703096545754e-309,2.78020590644299e-309,2.78020596019374e-309,1.39010297750639e-309,0,2.78020530651307e-309,2.78020585269004e-309,2.0851544445642e-309,2.08517638139767e-309,2.78020667706873e-309,4.86535904532034e-309,4.86536106270068e-309,4.86536166291819e-309,4.86536242279401e-309,5.5604132752993e-309,4.8653824192987e-309,4.8653798324775e-309,4.86535859386442e-309,4.8653611164908e-309,6.25546506333688e-309,6.2554650095842e-309,6.25546434646134e-309,5.56041061498761e-309
"Cercopithecus_cephus",5.56041274406892e-309,4.86536122821959e-309,4.86536122821832e-309,5.56041197322156e-309,5.56041202697231e-309,4.1703082788399e-309,4.17030833259065e-309,2.78020536026465e-309,2.78020530651307e-309,0,1.3901023775773e-309,2.08515389320684e-309,3.47527875379457e-309,4.17030904946564e-309,6.25546141771724e-309,6.25546343509759e-309,6.2554640353151e-309,6.25546479519092e-309,6.95051564769621e-309,6.25548479169561e-309,6.25548220487441e-309,6.25546096626132e-309,6.2554634888877e-309,7.64556743573379e-309,7.64556738198111e-309,7.64556671885824e-309,6.95051298738452e-309
"Cercopithecus_ascanius",5.56041329024588e-309,4.86536177439656e-309,4.86536177439528e-309,5.56041251939853e-309,5.56041257314927e-309,4.17030882501686e-309,4.17030887876761e-309,2.78020590644161e-309,2.78020585269004e-309,1.3901023775773e-309,0,2.0851544393838e-309,3.47527929997154e-309,4.1703095956426e-309,6.25546196389421e-309,6.25546398127455e-309,6.25546458149206e-309,6.25546534136788e-309,6.95051619387317e-309,6.25548533787257e-309,6.25548275105137e-309,6.25546151243828e-309,6.25546403506467e-309,7.64556798191075e-309,7.64556792815807e-309,7.64556726503521e-309,6.95051353356148e-309
"Allochrocebus_lhoesti",4.86536188212005e-309,4.17031036627072e-309,4.17031036626945e-309,4.86536111127269e-309,4.86536116502344e-309,3.47525741689103e-309,3.47525747064177e-309,2.08515449831578e-309,2.0851544445642e-309,2.08515389320684e-309,2.0851544393838e-309,0,2.7802278918457e-309,3.47525818751677e-309,5.56041055576837e-309,5.56041257314872e-309,5.56041317336623e-309,5.56041393324205e-309,6.25546478574734e-309,5.56043392974674e-309,5.56043134292554e-309,5.56041010431245e-309,5.56041262693883e-309,6.95051657378492e-309,6.95051652003224e-309,6.95051585690937e-309,6.25546212543565e-309
"Cercopithecus_mona",3.47527946144816e-309,2.78022794559883e-309,2.78022794559755e-309,3.4752786906008e-309,3.47527874435155e-309,2.08517632246652e-309,2.08517637621727e-309,2.08517643514924e-309,2.08517638139767e-309,3.47527875379457e-309,3.47527929997154e-309,2.7802278918457e-309,0,6.95072735586905e-310,4.17032813509648e-309,4.17033015247683e-309,4.17033075269433e-309,4.17033151257015e-309,4.86538236507544e-309,4.17035150907485e-309,4.17034892225364e-309,4.17032768364056e-309,4.17033020626694e-309,5.56043415311303e-309,5.56043409936034e-309,5.56043343623748e-309,4.86537970476376e-309
"Cercopithecus_pogonias",4.17030975711922e-309,3.47525824126989e-309,3.47525824126862e-309,4.17030898627187e-309,4.17030904002261e-309,2.78020661813759e-309,2.78020667188834e-309,2.78020673082031e-309,2.78020667706873e-309,4.17030904946564e-309,4.1703095956426e-309,3.47525818751677e-309,6.95072735586905e-310,0,4.86535843076755e-309,4.86536044814789e-309,4.8653610483654e-309,4.86536180824122e-309,5.56041266074651e-309,4.86538180474591e-309,4.86537921792471e-309,4.86535797931162e-309,4.865360501938e-309,6.25546444878409e-309,6.25546439503141e-309,6.25546373190855e-309,5.56041000043482e-309
"Procolobus_badius",4.86535909411286e-309,4.17030757826353e-309,4.17030757826225e-309,4.8653583232655e-309,4.86535837701625e-309,4.8653589863892e-309,4.86535904013994e-309,4.86535909907191e-309,4.86535904532034e-309,6.25546141771724e-309,6.25546196389421e-309,5.56041055576837e-309,4.17032813509648e-309,4.86535843076755e-309,0,1.39010101387762e-309,2.78020453784995e-309,2.78020529772577e-309,3.47525615023106e-309,4.17032821798749e-309,4.17032563116629e-309,4.17030439255321e-309,4.17030691517959e-309,5.56041086202567e-309,5.56041080827299e-309,5.56041014515013e-309,4.8653564136764e-309
"Procolobus_verus",4.8653611114932e-309,4.17030959564388e-309,4.1703095956426e-309,4.86536034064585e-309,4.86536039439659e-309,4.86536100376954e-309,4.86536105752029e-309,4.86536111645226e-309,4.86536106270068e-309,6.25546343509759e-309,6.25546398127455e-309,5.56041257314872e-309,4.17033015247683e-309,4.86536044814789e-309,1.39010101387762e-309,0,2.7802065552303e-309,2.78020731510612e-309,3.47525816761141e-309,4.17033023536784e-309,4.17032764854664e-309,4.17030640993355e-309,4.17030893255993e-309,5.56041287940602e-309,5.56041282565334e-309,5.56041216253047e-309,4.86535843105675e-309
"Colobus_satanas",4.86536171171071e-309,4.17031019586138e-309,4.17031019586011e-309,4.86536094086336e-309,4.8653609946141e-309,4.86536160398705e-309,4.8653616577378e-309,4.86536171666977e-309,4.86536166291819e-309,6.2554640353151e-309,6.25546458149206e-309,5.56041317336623e-309,4.17033075269433e-309,4.8653610483654e-309,2.78020453784995e-309,2.7802065552303e-309,0,1.39010368362898e-309,2.08515453613427e-309,4.17033083558535e-309,4.17032824876415e-309,4.17030701015106e-309,4.17030953277744e-309,5.56041347962353e-309,5.56041342587085e-309,5.56041276274798e-309,4.86535903127426e-309
"Colobus_guereza",4.86536247158653e-309,4.1703109557372e-309,4.17031095573593e-309,4.86536170073917e-309,4.86536175448992e-309,4.86536236386287e-309,4.86536241761361e-309,4.86536247654559e-309,4.86536242279401e-309,6.25546479519092e-309,6.25546534136788e-309,5.56041393324205e-309,4.17033151257015e-309,4.86536180824122e-309,2.78020529772577e-309,2.78020731510612e-309,1.39010368362898e-309,0,6.9505217875268e-310,4.17033159546117e-309,4.17032900863997e-309,4.17030777002688e-309,4.17031029265326e-309,5.56041423949935e-309,5.56041418574667e-309,5.5604135226238e-309,4.86535979115008e-309
"Colobus_polykomos",5.56041332409182e-309,4.86536180824249e-309,4.86536180824122e-309,5.56041255324447e-309,5.56041260699521e-309,5.56041321636816e-309,5.5604132701189e-309,5.56041332905088e-309,5.5604132752993e-309,6.95051564769621e-309,6.95051619387317e-309,6.25546478574734e-309,4.86538236507544e-309,5.56041266074651e-309,3.47525615023106e-309,3.47525816761141e-309,2.08515453613427e-309,6.9505217875268e-310,0,4.86538244796646e-309,4.86537986114526e-309,4.86535862253217e-309,4.86536114515855e-309,6.25546509200464e-309,6.25546503825196e-309,6.25546437512909e-309,5.56041064365537e-309
"Gorilla_gorilla",4.86538246809122e-309,4.1703309522419e-309,4.17033095224062e-309,4.86538169724387e-309,4.86538175099461e-309,4.86538236036756e-309,4.86538241411831e-309,4.86538247305028e-309,4.8653824192987e-309,6.25548479169561e-309,6.25548533787257e-309,5.56043392974674e-309,4.17035150907485e-309,4.86538180474591e-309,4.17032821798749e-309,4.17033023536784e-309,4.17033083558535e-309,4.17033159546117e-309,4.86538244796646e-309,0,1.39010044443677e-309,1.39012181152044e-309,2.78022736540479e-309,4.17033131225088e-309,4.1703312584982e-309,4.17033059537533e-309,3.47527686390161e-309
"Gorilla_beringei",4.86537988127002e-309,4.17032836542069e-309,4.17032836541942e-309,4.86537911042267e-309,4.86537916417341e-309,4.86537977354636e-309,4.86537982729711e-309,4.86537988622908e-309,4.8653798324775e-309,6.25548220487441e-309,6.25548275105137e-309,5.56043134292554e-309,4.17034892225364e-309,4.86537921792471e-309,4.17032563116629e-309,4.17032764854664e-309,4.17032824876415e-309,4.17032900863997e-309,4.86537986114526e-309,1.39010044443677e-309,0,1.39011922469924e-309,2.78022477858359e-309,4.17032872542968e-309,4.170328671677e-309,4.17032800855413e-309,3.47527427708041e-309
"Pan_troglodytes",4.86535864265694e-309,4.17030712680761e-309,4.17030712680633e-309,4.86535787180958e-309,4.86535792556032e-309,4.86535853493327e-309,4.86535858868402e-309,4.86535864761599e-309,4.86535859386442e-309,6.25546096626132e-309,6.25546151243828e-309,5.56041010431245e-309,4.17032768364056e-309,4.86535797931162e-309,4.17030439255321e-309,4.17030640993355e-309,4.17030701015106e-309,4.17030777002688e-309,4.86535862253217e-309,1.39012181152044e-309,1.39011922469924e-309,0,2.78020353997051e-309,4.17030748681659e-309,4.17030743306391e-309,4.17030676994105e-309,3.47525303846732e-309
"Heliosciurus_rufobrachium",4.86536116528332e-309,4.17030964943399e-309,4.17030964943271e-309,4.86536039443596e-309,4.86536044818671e-309,4.86536105755966e-309,4.8653611113104e-309,4.86536117024237e-309,4.8653611164908e-309,6.2554634888877e-309,6.25546403506467e-309,5.56041262693883e-309,4.17033020626694e-309,4.865360501938e-309,4.17030691517959e-309,4.17030893255993e-309,4.17030953277744e-309,4.17031029265326e-309,4.86536114515855e-309,2.78022736540479e-309,2.78022477858359e-309,2.78020353997051e-309,0,2.78020697810406e-309,2.78020692435138e-309,2.78020626122851e-309,2.08515252975479e-309
"Cephalophus_dorsalis",6.2554651121294e-309,5.56041359628008e-309,5.5604135962788e-309,6.25546434128205e-309,6.25546439503279e-309,6.25546500440574e-309,6.25546505815649e-309,6.25546511708846e-309,6.25546506333688e-309,7.64556743573379e-309,7.64556798191075e-309,6.95051657378492e-309,5.56043415311303e-309,6.25546444878409e-309,5.56041086202567e-309,5.56041287940602e-309,5.56041347962353e-309,5.56041423949935e-309,6.25546509200464e-309,4.17033131225088e-309,4.17032872542968e-309,4.17030748681659e-309,2.78020697810406e-309,0,1.39010297750529e-309,1.39010364062981e-309,2.0851534453429e-309
"Cephalophus_silvicultor",6.25546505837672e-309,5.56041354252739e-309,5.56041354252612e-309,6.25546428752937e-309,6.25546434128011e-309,6.25546495065306e-309,6.25546500440381e-309,6.25546506333578e-309,6.2554650095842e-309,7.64556738198111e-309,7.64556792815807e-309,6.95051652003224e-309,5.56043409936034e-309,6.25546439503141e-309,5.56041080827299e-309,5.56041282565334e-309,5.56041342587085e-309,5.56041418574667e-309,6.25546503825196e-309,4.1703312584982e-309,4.170328671677e-309,4.17030743306391e-309,2.78020692435138e-309,1.39010297750529e-309,0,1.39010358687713e-309,2.08515339159022e-309
"Cephalophus_callipygus",6.25546439525386e-309,5.56041287940453e-309,5.56041287940325e-309,6.2554636244065e-309,6.25546367815725e-309,6.2554642875302e-309,6.25546434128094e-309,6.25546440021291e-309,6.25546434646134e-309,7.64556671885824e-309,7.64556726503521e-309,6.95051585690937e-309,5.56043343623748e-309,6.25546373190855e-309,5.56041014515013e-309,5.56041216253047e-309,5.56041276274798e-309,5.5604135226238e-309,6.25546437512909e-309,4.17033059537533e-309,4.17032800855413e-309,4.17030676994105e-309,2.78020626122851e-309,1.39010364062981e-309,1.39010358687713e-309,0,2.08515272846736e-309
"Loxodonta_africana",5.56041066378013e-309,4.86535914793081e-309,4.86535914792953e-309,5.56040989293278e-309,5.56040994668352e-309,5.56041055605647e-309,5.56041060980722e-309,5.56041066873919e-309,5.56041061498761e-309,6.95051298738452e-309,6.95051353356148e-309,6.25546212543565e-309,4.86537970476376e-309,5.56041000043482e-309,4.8653564136764e-309,4.86535843105675e-309,4.86535903127426e-309,4.86535979115008e-309,5.56041064365537e-309,3.47527686390161e-309,3.47527427708041e-309,3.47525303846732e-309,2.08515252975479e-309,2.0851534453429e-309,2.08515339159022e-309,2.08515272846736e-309,0
